cat_state,cat_party,total_votes
AC,PCB,0
AC,PCO,0
AC,PRTB,0
AC,PSB,50825
AC,PSC,13772
AC,PSDB,353139
AC,PSDC,16464
AC,PSOL,5797
AC,PSTU,0
AC,PT,538758
AC,PV,14300
AL,PCB,3950
AL,PCO,0
AL,PRTB,315796
AL,PSB,95343
AL,PSC,30933
AL,PSDB,470205
AL,PSDC,902
AL,PSOL,464146
AL,PSTU,3767
AL,PT,138853
AL,PV,3402
AM,PCB,5531
AM,PCO,0
AM,PRTB,487
AM,PSB,406258
AM,PSC,22479
AM,PSDB,359577
AM,PSDC,30553
AM,PSOL,31570
AM,PSTU,9862
AM,PT,699837
AM,PV,71295
AP,PCB,455
AP,PCO,0
AP,PRTB,14103
AP,PSB,305474
AP,PSC,52623
AP,PSDB,26138
AP,PSDC,29493
AP,PSOL,26077
AP,PSTU,10619
AP,PT,90610
AP,PV,16263
BA,PCB,0
BA,PCO,0
BA,PRTB,20980
BA,PSB,1273369
BA,PSC,521127
BA,PSDB,694753
BA,PSDC,11575
BA,PSOL,209979
BA,PSTU,27283
BA,PT,5963526
BA,PV,229216
CE,PCB, 5699
CE,PCO, 0
CE,PRTB, 16589
CE,PSB, 255485
CE,PSC, 103080
CE,PSDB, 2501578
CE,PSDC, 140257
CE,PSOL, 216425
CE,PSTU, 61475
CE,PT, 5387714
CE,PV, 120528
DF,PCB, 1371
DF,PCO, 2023
DF,PRTB, 115495
DF,PSB, 1658143
DF,PSC, 26104
DF,PSDB, 312502
DF,PSDC, 7957
DF,PSOL, 91252
DF,PSTU, 8513
DF,PT, 925567
DF,PV, 52803
ES,PCB, 2466
ES,PCO, 0
ES,PRTB, 25603
ES,PSB, 1132074
ES,PSC, 14723
ES,PSDB, 306416
ES,PSDC, 12881
ES,PSOL, 67778
ES,PSTU, 10779
ES,PT, 803465
ES,PV, 640749
GO,PCB, 0
GO,PCO, 0
GO,PRTB, 85302
GO,PSB, 650056
GO,PSC, 71681
GO,PSDB, 4676440
GO,PSDC, 40680
GO,PSOL, 29739
GO,PSTU, 2385
GO,PT, 838211
GO,PV, 8967
MA,PCB, 11921
MA,PCO, 0
MA,PRTB, 83265
MA,PSB, 1678896
MA,PSC, 147026
MA,PSDB, 164856
MA,PSDC, 184777
MA,PSOL, 96655
MA,PSTU, 78075
MA,PT, 290943
MA,PV, 360376
MG,PCB, 77552
MG,PCO, 18285
MG,PRTB, 10605
MG,PSB, 1483482
MG,PSC, 382066
MG,PSDB, 11470986
