id_candidate_seq,id_candidate_num,cat_candidate_name,cat_state,cat_party,cat_coalition,cat_composition,cat_eletion_result,num_turn,num_votes,cat_political_office
280000000001,16,JOSÉ MARIA DE ALMEIDA,AL,PSTU,PARTIDO ISOLADO,PSTU,NÃO ELEITO,1,1197,Presidente
280000000021,28,JOSÉ LEVY FIDELIX DA CRUZ,AL,PRTB,PARTIDO ISOLADO,PRTB,NÃO ELEITO,1,7069,Presidente
280000000041,21,MAURO LUÍS IASI,AL,PCB,PARTIDO ISOLADO,PCB,NÃO ELEITO,1,892,Presidente
280000000043,50,LUCIANA KREBS GENRO,AL,PSOL,PARTIDO ISOLADO,PSOL,NÃO ELEITO,1,15236,Presidente
280000000061,43,EDUARDO JORGE MARTINS ALVES SOBRINHO,AL,PV,PARTIDO ISOLADO,PV,NÃO ELEITO,1,3552,Presidente
280000000065,20,EVERALDO DIAS PEREIRA,AL,PSC,PARTIDO ISOLADO,PSC,NÃO ELEITO,1,8413,Presidente
280000000067,27,JOSE MARIA EYMAEL,AL,PSDC,PARTIDO ISOLADO,PSDC,NÃO ELEITO,1,610,Presidente
280000000081,29,RUI COSTA PIMENTA,AL,PCO,PARTIDO ISOLADO,PCO,NÃO ELEITO,1,125,Presidente
280000000083,13,DILMA VANA ROUSSEFF,AL,PT,COLIGAÇÃO COM A FORÇA DO POVO,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2º TURNO,1,703809,Presidente
280000000085,45,AÉCIO NEVES DA CUNHA,AL,PSDB,MUDA BRASIL,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2º TURNO,1,311830,Presidente
280000000121,40,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,AL,PSB,UNIDOS PELO BRASIL,PHS / PRP / PPS / PPL / PSB / PSL,NÃO ELEITO,1,356803,Presidente
