id_candidate_seq,id_candidate_num,cat_candidate_name,cat_state,cat_party,cat_coalition,cat_composition,cat_eletion_result,num_turn,num_votes,cat_political_office
280000000001,16,JOSÉ MARIA DE ALMEIDA,AM,PSTU,PARTIDO ISOLADO,PSTU,NÃO ELEITO,1,1353,Presidente
280000000021,28,JOSÉ LEVY FIDELIX DA CRUZ,AM,PRTB,PARTIDO ISOLADO,PRTB,NÃO ELEITO,1,10261,Presidente
280000000041,21,MAURO LUÍS IASI,AM,PCB,PARTIDO ISOLADO,PCB,NÃO ELEITO,1,545,Presidente
280000000043,50,LUCIANA KREBS GENRO,AM,PSOL,PARTIDO ISOLADO,PSOL,NÃO ELEITO,1,15957,Presidente
280000000061,43,EDUARDO JORGE MARTINS ALVES SOBRINHO,AM,PV,PARTIDO ISOLADO,PV,NÃO ELEITO,1,4395,Presidente
280000000065,20,EVERALDO DIAS PEREIRA,AM,PSC,PARTIDO ISOLADO,PSC,NÃO ELEITO,1,42697,Presidente
280000000067,27,JOSE MARIA EYMAEL,AM,PSDC,PARTIDO ISOLADO,PSDC,NÃO ELEITO,1,621,Presidente
280000000081,29,RUI COSTA PIMENTA,AM,PCO,PARTIDO ISOLADO,PCO,NÃO ELEITO,1,98,Presidente
280000000083,13,DILMA VANA ROUSSEFF,AM,PT,COLIGAÇÃO COM A FORÇA DO POVO,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2º TURNO,1,915299,Presidente
280000000085,45,AÉCIO NEVES DA CUNHA,AM,PSDB,MUDA BRASIL,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2º TURNO,1,326257,Presidente
280000000121,40,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,AM,PSB,UNIDOS PELO BRASIL,PHS / PRP / PPS / PPL / PSB / PSL,NÃO ELEITO,1,361632,Presidente
