cat_state,cat_party,num_votes,cat_political_office
AM,PCB,4196,Governador
AM,PCB,542,Deputado Federal
AM,PCB,364,Deputado Federal
AM,PCB,429,Deputado Estadual
AM,PRTB,487,Deputado Estadual
AM,PSB,36501,Deputado Estadual
AM,PSB,1675,Deputado Estadual
AM,PSB,196,Deputado Estadual
AM,PSB,1102,Deputado Estadual
AM,PSB,213,Deputado Estadual
AM,PSB,943,Deputado Estadual
AM,PSB,162,Deputado Estadual
AM,PSB,4341,Deputado Estadual
AM,PSB,71,Deputado Estadual
AM,PSB,6241,Deputado Estadual
AM,PSB,172,Deputado Estadual
AM,PSB,283,Deputado Estadual
AM,PSB,12,Deputado Estadual
AM,PSB,8,Deputado Estadual
AM,PSB,4,Deputado Estadual
AM,PSB,59,Deputado Estadual
AM,PSB,2,Deputado Estadual
AM,PSB,291,Deputado Estadual
AM,PSB,462,Deputado Estadual
AM,PSB,360,Deputado Estadual
AM,PSB,1176,Deputado Estadual
AM,PSB,6,Deputado Estadual
AM,PSB,10402,Deputado Estadual
AM,PSB,900,Deputado Estadual
AM,PSB,1737,Deputado Estadual
AM,PSB,1777,Deputado Estadual
AM,PSB,273,Deputado Estadual
AM,PSB,109,Deputado Estadual
AM,PSB,607,Deputado Estadual
AM,PSB,5043,Deputado Estadual
AM,PSB,451,Deputado Estadual
AM,PSB,440,Deputado Estadual
AM,PSB,33,Deputado Estadual
AM,PSB,54,Deputado Estadual
AM,PSB,724,Deputado Estadual
AM,PSB,91428,Senador
AM,PSB,179758,Governador
AM,PSB,49275,Deputado Federal
AM,PSB,5157,Deputado Federal
AM,PSB,171,Deputado Federal
AM,PSB,408,Deputado Federal
AM,PSB,196,Deputado Federal
AM,PSB,222,Deputado Estadual
AM,PSB,441,Deputado Estadual
AM,PSB,2372,Deputado Estadual
AM,PSC,2033,Deputado Federal
AM,PSC,19938,Deputado Estadual
AM,PSC,298,Deputado Estadual
AM,PSC,163,Deputado Estadual
AM,PSC,47,Deputado Estadual
AM,PSDB,250916,Deputado Federal
AM,PSDB,376,Deputado Estadual
AM,PSDB,13429,Deputado Estadual
AM,PSDB,320,Deputado Estadual
AM,PSDB,137,Deputado Estadual
AM,PSDB,281,Deputado Estadual
AM,PSDB,674,Deputado Estadual
AM,PSDB,334,Deputado Estadual
AM,PSDB,14041,Deputado Estadual
AM,PSDB,0,Deputado Estadual
AM,PSDB,12343,Deputado Estadual
AM,PSDB,22782,Deputado Estadual
AM,PSDB,128,Deputado Estadual
AM,PSDB,672,Deputado Estadual
AM,PSDB,3304,Deputado Estadual
AM,PSDB,0,Deputado Estadual
AM,PSDB,7920,Deputado Estadual
AM,PSDB,22822,Deputado Estadual
AM,PSDB,292,Deputado Estadual
AM,PSDB,382,Deputado Estadual
AM,PSDB,0,Deputado Estadual
AM,PSDB,3548,Deputado Estadual
AM,PSDB,3258,Deputado Estadual
AM,PSDB,654,Deputado Estadual
AM,PSDB,629,Deputado Estadual
AM,PSDB,335,Deputado Estadual
AM,PSDC,520,Deputado Federal
AM,PSDC,896,Deputado Estadual
AM,PSDC,224,Deputado Estadual
AM,PSDC,828,Deputado Estadual
AM,PSDC,1162,Deputado Estadual
AM,PSDC,128,Deputado Estadual
AM,PSDC,2395,Deputado Estadual
AM,PSDC,7133,Deputado Estadual
AM,PSDC,79,Deputado Estadual
AM,PSDC,1119,Deputado Estadual
AM,PSDC,1358,Deputado Estadual
AM,PSDC,88,Deputado Estadual
AM,PSDC,6553,Deputado Estadual
AM,PSDC,2023,Deputado Estadual
AM,PSDC,993,Deputado Estadual
AM,PSDC,134,Deputado Estadual
AM,PSDC,183,Deputado Estadual
AM,PSDC,887,Deputado Estadual
AM,PSDC,190,Deputado Estadual
AM,PSDC,738,Deputado Estadual
AM,PSDC,2149,Deputado Estadual
AM,PSDC,0,Deputado Estadual
AM,PSDC,20,Deputado Estadual
AM,PSDC,753,Deputado Estadual
