id_candidate_seq,id_candidate_num,cat_candidate_name,cat_state,cat_party,cat_coalition,cat_composition,cat_eletion_result,num_turn,num_votes,cat_political_office
280000000001,16,JOSÉ MARIA DE ALMEIDA,AC,PSTU,PARTIDO ISOLADO,PSTU,NÃO ELEITO,1,112,Presidente
280000000021,28,JOSÉ LEVY FIDELIX DA CRUZ,AC,PRTB,PARTIDO ISOLADO,PRTB,NÃO ELEITO,1,639,Presidente
280000000041,21,MAURO LUÍS IASI,AC,PCB,PARTIDO ISOLADO,PCB,NÃO ELEITO,1,68,Presidente
280000000043,50,LUCIANA KREBS GENRO,AC,PSOL,PARTIDO ISOLADO,PSOL,NÃO ELEITO,1,867,Presidente
280000000061,43,EDUARDO JORGE MARTINS ALVES SOBRINHO,AC,PV,PARTIDO ISOLADO,PV,NÃO ELEITO,1,597,Presidente
280000000065,20,EVERALDO DIAS PEREIRA,AC,PSC,PARTIDO ISOLADO,PSC,NÃO ELEITO,1,1203,Presidente
280000000067,27,JOSE MARIA EYMAEL,AC,PSDC,PARTIDO ISOLADO,PSDC,NÃO ELEITO,1,282,Presidente
280000000081,29,RUI COSTA PIMENTA,AC,PCO,PARTIDO ISOLADO,PCO,NÃO ELEITO,1,14,Presidente
280000000083,13,DILMA VANA ROUSSEFF,AC,PT,COLIGAÇÃO COM A FORÇA DO POVO,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2º TURNO,1,111641,Presidente
280000000085,45,AÉCIO NEVES DA CUNHA,AC,PSDB,MUDA BRASIL,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2º TURNO,1,116109,Presidente
280000000121,40,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,AC,PSB,UNIDOS PELO BRASIL,PHS / PRP / PPS / PPL / PSB / PSL,NÃO ELEITO,1,167603,Presidente
